SYMB,MM/DD/YY,NAV
IBAPR2002,4/1/2014,170.8
IBMAY2002,4/1/2014,169.32
IBJUN2002,4/1/2014,168.88
IBJUL2002,4/1/2014,168.44
IBAUG2002,4/1/2014,168
IBSEP2002,4/1/2014,167.56
IBOCT2002,4/1/2014,167.12
IBNOV2002,4/1/2014,160.08
IBDEC2002,4/1/2014,159.72
IBJAN2001,4/1/2014,215.72
IBFEB2001,4/1/2014,214.92
IBMAR2001,4/1/2014,214.08
IBAPR2001,4/1/2014,213.28
IBMAY2001,4/1/2014,200.52
IBJUN2001,4/1/2014,199.84
IBJUL2001,4/1/2014,199.12
IBAUG2001,4/1/2014,198.44
IBSEP2001,4/1/2014,197.76
IBOCT2001,4/1/2014,197.08
IBNOV2001,4/1/2014,173.08
IBDEC2001,4/1/2014,172.60
IBJAN2000,4/1/2014,231.32
IBFEB2000,4/1/2014,230.48
IBMAR2000,4/1/2014,229.6
IBAPR2000,4/1/2014,228.72
IBMAY2000,4/1/2014,231.28
IBJUN2000,4/1/2014,230.36
IBJUL2000,4/1/2014,229.48
IBAUG2000,4/1/2014,228.56
IBSEP2000,4/1/2014,227.64
IBOCT2000,4/1/2014,226.76
IBNOV2000,4/1/2014,217.36
IBDEC2000,4/1/2014,216.52
IBJAN1999,4/1/2014,240.16
IBFEB1999,4/1/2014,239.28
IBMAR1999,4/1/2014,238.4
IBAPR1999,4/1/2014,237.52
IBMAY1999,4/1/2014,235.88
IBJUN1999,4/1/2014,235.04
IBJUL1999,4/1/2014,234.16
IBAUG1999,4/1/2014,233.28
IBSEP1999,4/1/2014,232.44
IBOCT1999,4/1/2014,231.56
IBNOV1999,4/1/2014,233.08
IBDEC1999,4/1/2014,232.20
IBJAN2014,4/1/2014,100
IBFEB2014,4/1/2014,100
IBMAR2014,4/1/2014,100
IBAPR2014,4/1/2014,100
IBSEP1998,4/1/2014,247.00
IBOCT1998,4/1/2014,246.08
IBNOV1998,4/1/2014,241.96
IBDEC1998,4/1/2014,241.08
IBJAN2012,5/1/2014,104.28
IBFEB2012,5/1/2014,104.16
IBMAR2012,5/1/2014,104.08
IBAPR2012,5/1/2014,103.96
IBMAY2012,5/1/2014,102.92
IBJUN2012,5/1/2014,102.8
IBJUL2012,5/1/2014,102.72
IBAUG2012,5/1/2014,102.60
IBSEP2012,5/1/2014,102.52
IBOCT2012,5/1/2014,102.4
IBNOV2012,5/1/2014,101.76
IBDEC2012,5/1/2014,101.68
IBJAN2011,5/1/2014,107.08
IBFEB2011,5/1/2014,106.96
IBMAR2011,5/1/2014,106.84
IBAPR2011,5/1/2014,106.72
IBMAY2011,5/1/2014,106.92
IBJUN2011,5/1/2014,106.8
IBJUL2011,5/1/2014,106.72
IBAUG2011,5/1/2014,106.60
IBSEP2011,5/1/2014,106.48
IBOCT2011,5/1/2014,106.36
IBNOV2011,5/1/2014,104.48
IBDEC2011,5/1/2014,104.36
IBJAN2010,5/1/2014,110.8
IBFEB2010,5/1/2014,110.68
IBMAR2010,5/1/2014,110.56
IBAPR2010,5/1/2014,110.44
IBMAY2010,5/1/2014,108.92
IBJUN2010,5/1/2014,108.8
IBJUL2010,5/1/2014,108.68
IBAUG2010,5/1/2014,108.56
IBSEP2010,5/1/2014,108.4
